date,AAPL,MSFT,NVDA,GOOGL,XOM,SPY,META,JPM,JNJ,V
2021-03-05,0.0106811214726635,0.021251836983762703,0.0073495667675112005,0.03057122591666062,0.037115498753782714,0.018229037737351062,0.025445900489062638,0.0023221175917932744,0.019601465590594974,0.018317919862333772
2021-03-08,-0.042566806169223176,-0.018345223732815247,-0.07222078921965769,-0.043650957233343134,-0.000985227472293314,-0.004991170207420974,-0.034530674261578166,0.013166020384369074,0.008293574542420136,0.022311086546505668
2021-03-09,0.03984526534722678,0.027713923465116586,0.07726954441627591,0.016236095579741226,-0.015563319108113847,0.01417665548199779,0.04003994064510798,-0.007088222089076752,0.0019041473671737882,0.0004085563510710399
2021-03-10,-0.009209103988451199,-0.00583445301496631,-0.00416208314272506,-0.0020457354870332175,0.030240621321424438,0.006205474497528222,-0.003166130089152204,0.021501965956118734,0.009152553796386834,0.012671049830958183
2021-03-11,0.01636800848375533,0.020062458370797728,0.0412638279430161,0.0311139501928582,-0.007474816629726414,0.010088056200457683,0.03333783450272081,-0.0052351862044426704,-6.249314758047896e-05,0.013264574699213594
2021-03-12,-0.0076545386223924455,-0.005836507066008862,-0.01063862445758396,-0.02435459649555728,0.010707497397611202,0.0013457476669202436,-0.02021148060308684,0.011788766019620846,0.0028861741714770375,-0.007946432072814745
2021-03-15,0.02416258867397681,-0.003995274631168627,0.025743152131736946,0.0021634020301066637,-0.025827096324548566,0.00594606400425977,0.01973667060100556,-0.005007296984977293,0.0051246403148899645,-0.004870224865573481
2021-03-16,0.012662365774245414,0.012274730730479314,0.0075521221513585035,0.014233151580911011,-0.02142315273050461,-0.0012624953594802665,0.01999945972869386,-0.0120439798118848,0.005904292922318921,0.006384372946849402
2021-03-17,-0.006471450396145449,-0.0028227802360010906,0.003754887741680257,-0.0008018698464752475,0.0043887251515569185,0.0034043518193140184,0.016794607486694136,0.01023990028640906,-0.0037252913357699656,-0.007504614737113293
2021-03-18,-0.034493282947359635,-0.02702380550814109,-0.04748863864218832,-0.0296737785396525,-0.044076543351336,-0.014656716404082082,-0.01916068097156857,0.016371974955591007,-0.0018675342982262535,-0.010638458178764954
2021-03-19,-0.0044901928479545205,-0.0016049827706367573,0.009640931229253523,0.002776299646657622,-0.005648686385480699,-0.0018518169923376752,0.04041145541875554,-0.01604951495125419,-0.0026832875738996456,-0.06438747531714428
2021-03-22,0.0279416593472312,0.024189651174098426,0.026161347206213895,0.0018385375353277735,-0.010320518745728539,0.007953311150555425,0.011753744282010389,-0.02724693396864519,0.002870406039320971,0.005302648782790934
2021-03-23,-0.006912626167984565,0.006715093129695875,-0.00879763584861486,0.005225941599766625,-0.012417996864500703,-0.00790205382125987,-0.009962997763795653,-0.01005239951474633,-0.0009347372523623106,0.0007207039184048961
2021-03-24,-0.020196000673020173,-0.008963515577764904,-0.0332731543670357,-0.00432039034550452,0.020079590368934117,-0.00509645431123626,-0.029647454842371815,0.007731321466172629,0.009681251978045445,-0.0003842904954793542
2021-03-25,0.004154914982232532,-0.013339341189711477,-0.008559255129105763,-3.421399034616569e-05,-0.002844039589899405,0.0056098054566563645,-0.012124095178958369,0.012732594503874208,0.0003706574742068757,-0.00048095147738666137
2021-03-26,0.005127996412319467,0.01766183590243386,0.023962388106007728,-0.003810442835885493,0.026869683939798168,0.015986586567780802,0.015238117062816643,0.01651295750900799,0.0181097382178168,0.02638357049278693
2021-03-29,0.0014841544900216137,-0.005257417769269095,0.00845387484743384,0.010347404273443394,-0.005385995954798345,-0.0005052901642535639,0.027187136278677748,-0.01566130697247191,0.00670753574429249,0.004579198149556279
2021-03-30,-0.012350395297422108,-0.01451576111271216,-0.005925627068119842,0.0003324161280476558,-0.012446750302365247,-0.0026564322547331684,-0.009744117365869675,0.011720297445469928,-0.006222260886641307,-0.012241916919929355
2021-03-31,0.018591798968084366,0.016766351727501214,0.03635013581325986,0.007812174963697233,-0.015286313027784899,0.004045077761676357,0.022420285049311033,-0.014671933033856754,-0.004007905073831428,-0.0008025948630021644
2021-04-01,0.006934428137743902,0.027526345207844884,0.03413466385469212,0.03209009299806505,0.027558710375576854,0.010741322865197878,0.013925031014546245,0.009675292905078257,-0.009291515352337779,0.023940031161459166
2021-04-05,0.023303566810526852,0.027350765300783855,0.01264426153952909,0.04101999114351807,-0.01562948501920954,0.014250730406168532,0.03374419075041226,0.0052867874318578405,0.003677924329235262,0.010002337184677187
2021-04-06,0.0024591396721039536,-0.004869866505567906,-0.009048831984202114,-0.004381012375928764,-0.0028358104213176247,-0.0005905312169464874,-0.008615650945773698,-0.007055430681829189,-0.0002446311670476648,-0.001781990179707786
2021-04-07,0.013301682928352546,0.00819684209724362,0.020139939346545867,0.013385161468511812,0.004427431966502675,0.0011566857618700108,0.022056294378633587,0.01554661342724753,0.0013458591345008916,0.002831541139794118
2021-04-08,0.01905100409522671,0.013316361634109557,0.012192450344612226,0.005078667379108056,-0.01048045652803468,0.0047353116435047745,-0.00022371097696273455,0.0012254031642887837,-0.003919777205877259,0.006500317298447987
2021-04-09,0.0200493482195363,0.010214015909420686,0.005780564022903989,0.008953527791675745,-0.002324430125505899,0.0072440757277724265,-0.0017904089928476022,0.007450238369078455,-0.010610207289106945,0.008212789290054657
2021-04-12,-0.013321369634252818,0.00023447611180858646,0.05465900726113324,-0.011538643157571207,-0.006644125397026152,0.00036440585656511137,-0.002948835544599967,-0.002113624063740261,0.002415573419978821,-0.004729882298546404
2021-04-13,0.024015574824259162,0.010031182715003212,0.03046685406878558,0.004360872188750087,0.0037765402229843668,0.0029592290131406503,-0.005730047743022046,-0.011998691334606562,-0.013453309101180099,-0.0020338382484404818
2021-04-14,-0.01801418513602361,-0.011282378510592838,-0.026005776041040176,-0.005569024067930567,0.02848981871343804,-0.003420832195998302,-0.022659011860620224,-0.018867208726103476,0.0027553291734843744,0.004334079353537001
2021-04-15,0.018534857221372467,0.015181855048301154,0.054781978057762096,0.019147265123501823,-0.005949308999181715,0.010685124989644695,0.016376597433415744,0.00632874242051956,0.002934676311060274,0.019185957588689236
2021-04-16,-0.002530871440869127,0.004767024784880925,-0.014025242049934467,-0.0010944567416398996,-0.005631705016910043,0.003336926290384726,-0.0053421239234974814,0.0073985269341925765,0.01146858048001037,0.0005741977650050767
2021-04-19,0.005055702288673329,-0.007699777879970661,-0.035224411365922456,0.003066141823446514,-0.0031820014671572667,-0.004925367936161731,-0.012951897990588043,-0.004249055783787703,0.0027696516511851875,-0.002742194178453618
2021-04-20,-0.012912922872903377,-0.0018566125212467605,-0.012478305089753653,-0.004705823213528139,-0.021294367135462525,-0.007348416724141486,0.0013556928940394463,-0.022390983849843206,0.02302894212156369,-0.011178799974029329
2021-04-21,0.0029254602535575183,0.008942851287826748,0.01239695727530256,-0.0002897142776517269,0.01275957920482112,0.009417666148802347,-0.003906394578336426,0.008472257748242023,0.0006601910784374924,0.018503859026950665
2021-04-22,-0.011754256556755225,-0.013172371375302744,-0.033782722522825485,-0.0114020527019495,-0.01312137578072634,-0.009175114908069246,-0.016555876058727447,-0.021282874513660087,-0.008499965270220003,0.000527560856728488
2021-04-23,0.017877785702123998,0.015357115312971502,0.02756255712380305,0.020829150921603288,0.005413169219696323,0.01078418959964123,0.015427470459439334,0.01895497107608217,0.002056510099801372,0.010621421535598667
2021-04-26,0.002973804374389559,0.0015308024209320995,0.013840428114846773,0.004338614439687181,0.001977498662164257,0.0020854457268460534,0.006322688041594493,0.0024602733953571288,-0.008494332178864996,0.00147704601747542
2021-04-27,-0.0024528226642450517,0.0016045240172181967,-0.006237876101173686,-0.008237567370757884,0.013025384038432328,-0.0002157365881068987,0.0017473339508752238,0.004572836947466576,-0.005744014851534299,-0.001868406396293004
